event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUN142345,"Target Price: $65,695.00",2026-06-14 23:30:00-04:00,2026-06-14 23:45:00-04:00,65815.62,65695.0,yes
KXBTC15M-26JUN142330,"Target Price: $65,658.15",2026-06-14 23:15:00-04:00,2026-06-14 23:30:00-04:00,65695.00,65658.15,yes
KXBTC15M-26JUN142315,"Target Price: $65,421.01",2026-06-14 23:00:00-04:00,2026-06-14 23:15:00-04:00,65658.15,65421.01,yes
KXBTC15M-26JUN142300,"Target Price: $65,564.12",2026-06-14 22:45:00-04:00,2026-06-14 23:00:00-04:00,65421.01,65564.12,no
KXBTC15M-26JUN142245,"Target Price: $65,623.70",2026-06-14 22:30:00-04:00,2026-06-14 22:45:00-04:00,65564.12,65623.7,no
KXBTC15M-26JUN142230,"Target Price: $65,625.41",2026-06-14 22:15:00-04:00,2026-06-14 22:30:00-04:00,65623.70,65625.41,no
KXBTC15M-26JUN142215,"Target Price: $65,467.20",2026-06-14 22:00:00-04:00,2026-06-14 22:15:00-04:00,65625.41,65467.2,yes
KXBTC15M-26JUN142200,"Target Price: $65,651.10",2026-06-14 21:45:00-04:00,2026-06-14 22:00:00-04:00,65467.20,65651.1,no
KXBTC15M-26JUN142145,"Target Price: $65,384.36",2026-06-14 21:30:00-04:00,2026-06-14 21:45:00-04:00,65651.10,65384.36,yes
KXBTC15M-26JUN142130,"Target Price: $65,464.01",2026-06-14 21:15:00-04:00,2026-06-14 21:30:00-04:00,65384.36,65464.01,no
KXBTC15M-26JUN142115,"Target Price: $65,595.82",2026-06-14 21:00:00-04:00,2026-06-14 21:15:00-04:00,65464.01,65595.82,no
KXBTC15M-26JUN142100,"Target Price: $65,488.95",2026-06-14 20:45:00-04:00,2026-06-14 21:00:00-04:00,65595.82,65488.95,yes
KXBTC15M-26JUN142045,"Target Price: $65,732.96",2026-06-14 20:30:00-04:00,2026-06-14 20:45:00-04:00,65488.95,65732.96,no
KXBTC15M-26JUN142030,"Target Price: $65,781.91",2026-06-14 20:15:00-04:00,2026-06-14 20:30:00-04:00,65732.96,65781.91,no
KXBTC15M-26JUN142015,"Target Price: $65,723.76",2026-06-14 20:00:00-04:00,2026-06-14 20:15:00-04:00,65781.91,65723.76,yes
KXBTC15M-26JUN142000,"Target Price: $65,554.57",2026-06-14 19:45:00-04:00,2026-06-14 20:00:00-04:00,65723.76,65554.57,yes
KXBTC15M-26JUN141945,"Target Price: $65,669.12",2026-06-14 19:30:00-04:00,2026-06-14 19:45:00-04:00,65554.57,65669.12,no
KXBTC15M-26JUN141930,"Target Price: $65,517.12",2026-06-14 19:15:00-04:00,2026-06-14 19:30:00-04:00,65669.12,65517.12,yes
KXBTC15M-26JUN141915,"Target Price: $65,354.06",2026-06-14 19:00:00-04:00,2026-06-14 19:15:00-04:00,65517.12,65354.06,yes
KXBTC15M-26JUN141900,"Target Price: $65,425.69",2026-06-14 18:45:00-04:00,2026-06-14 19:00:00-04:00,65354.06,65425.69,no
KXBTC15M-26JUN141845,"Target Price: $65,186.85",2026-06-14 18:30:00-04:00,2026-06-14 18:45:00-04:00,65425.69,65186.85,yes
KXBTC15M-26JUN141830,"Target Price: $65,145.57",2026-06-14 18:15:00-04:00,2026-06-14 18:30:00-04:00,65186.85,65145.57,yes
KXBTC15M-26JUN141815,"Target Price: $65,299.94",2026-06-14 18:00:00-04:00,2026-06-14 18:15:00-04:00,65145.57,65299.94,no
KXBTC15M-26JUN141800,"Target Price: $65,252.45",2026-06-14 17:45:00-04:00,2026-06-14 18:00:00-04:00,65299.94,65252.45,yes
KXBTC15M-26JUN141745,"Target Price: $64,654.14",2026-06-14 17:30:00-04:00,2026-06-14 17:45:00-04:00,65252.45,64654.14,yes
KXBTC15M-26JUN141730,"Target Price: $64,063.82",2026-06-14 17:15:00-04:00,2026-06-14 17:30:00-04:00,64654.14,64063.82,yes
KXBTC15M-26JUN141715,"Target Price: $63,980.12",2026-06-14 17:00:00-04:00,2026-06-14 17:15:00-04:00,64063.82,63980.12,yes
KXBTC15M-26JUN141700,"Target Price: $64,010.40",2026-06-14 16:45:00-04:00,2026-06-14 17:00:00-04:00,63980.12,64010.4,no
KXBTC15M-26JUN141645,"Target Price: $63,893.21",2026-06-14 16:30:00-04:00,2026-06-14 16:45:00-04:00,64010.40,63893.21,yes
KXBTC15M-26JUN141630,"Target Price: $63,785.17",2026-06-14 16:15:00-04:00,2026-06-14 16:30:00-04:00,63893.21,63785.17,yes
KXBTC15M-26JUN141615,"Target Price: $63,765.55",2026-06-14 16:00:00-04:00,2026-06-14 16:15:00-04:00,63785.17,63765.55,yes
KXBTC15M-26JUN141600,"Target Price: $63,728.07",2026-06-14 15:45:00-04:00,2026-06-14 16:00:00-04:00,63765.55,63728.07,yes
KXBTC15M-26JUN141545,"Target Price: $63,763.77",2026-06-14 15:30:00-04:00,2026-06-14 15:45:00-04:00,63728.07,63763.77,no
KXBTC15M-26JUN141530,"Target Price: $63,766.70",2026-06-14 15:15:00-04:00,2026-06-14 15:30:00-04:00,63763.77,63766.7,no
KXBTC15M-26JUN141515,"Target Price: $63,781.55",2026-06-14 15:00:00-04:00,2026-06-14 15:15:00-04:00,63766.70,63781.55,no
KXBTC15M-26JUN141500,"Target Price: $63,741.93",2026-06-14 14:45:00-04:00,2026-06-14 15:00:00-04:00,63781.55,63741.93,yes
KXBTC15M-26JUN141445,"Target Price: $63,694.98",2026-06-14 14:30:00-04:00,2026-06-14 14:45:00-04:00,63741.93,63694.98,yes
KXBTC15M-26JUN141430,"Target Price: $63,696.13",2026-06-14 14:15:00-04:00,2026-06-14 14:30:00-04:00,63694.98,63696.13,no
KXBTC15M-26JUN141415,"Target Price: $63,703.91",2026-06-14 14:00:00-04:00,2026-06-14 14:15:00-04:00,63696.13,63703.91,no
KXBTC15M-26JUN141400,"Target Price: $63,810.50",2026-06-14 13:45:00-04:00,2026-06-14 14:00:00-04:00,63703.91,63810.5,no
KXBTC15M-26JUN141345,"Target Price: $63,877.08",2026-06-14 13:30:00-04:00,2026-06-14 13:45:00-04:00,63810.50,63877.08,no
KXBTC15M-26JUN141330,"Target Price: $63,939.03",2026-06-14 13:15:00-04:00,2026-06-14 13:30:00-04:00,63877.08,63939.03,no
KXBTC15M-26JUN141315,"Target Price: $63,925.80",2026-06-14 13:00:00-04:00,2026-06-14 13:15:00-04:00,63939.03,63925.8,yes
KXBTC15M-26JUN141300,"Target Price: $64,123.23",2026-06-14 12:45:00-04:00,2026-06-14 13:00:00-04:00,63925.80,64123.23,no
KXBTC15M-26JUN141245,"Target Price: $64,111.61",2026-06-14 12:30:00-04:00,2026-06-14 12:45:00-04:00,64123.23,64111.61,yes
KXBTC15M-26JUN141230,"Target Price: $64,080.94",2026-06-14 12:15:00-04:00,2026-06-14 12:30:00-04:00,64111.61,64080.94,yes
KXBTC15M-26JUN141215,"Target Price: $64,000.50",2026-06-14 12:00:00-04:00,2026-06-14 12:15:00-04:00,64080.94,64000.5,yes
KXBTC15M-26JUN141200,"Target Price: $64,015.70",2026-06-14 11:45:00-04:00,2026-06-14 12:00:00-04:00,64000.50,64015.7,no
KXBTC15M-26JUN141145,"Target Price: $64,027.87",2026-06-14 11:30:00-04:00,2026-06-14 11:45:00-04:00,64015.70,64027.87,no
KXBTC15M-26JUN141130,"Target Price: $64,084.26",2026-06-14 11:15:00-04:00,2026-06-14 11:30:00-04:00,64027.87,64084.26,no
KXBTC15M-26JUN141115,"Target Price: $63,938.98",2026-06-14 11:00:00-04:00,2026-06-14 11:15:00-04:00,64084.26,63938.98,yes
KXBTC15M-26JUN141100,"Target Price: $63,901.26",2026-06-14 10:45:00-04:00,2026-06-14 11:00:00-04:00,63938.98,63901.26,yes
KXBTC15M-26JUN141045,"Target Price: $64,163.17",2026-06-14 10:30:00-04:00,2026-06-14 10:45:00-04:00,63901.26,64163.17,no
KXBTC15M-26JUN141030,"Target Price: $64,281.96",2026-06-14 10:15:00-04:00,2026-06-14 10:30:00-04:00,64163.17,64281.96,no
KXBTC15M-26JUN141015,"Target Price: $64,283.54",2026-06-14 10:00:00-04:00,2026-06-14 10:15:00-04:00,64281.96,64283.54,no
KXBTC15M-26JUN141000,"Target Price: $64,343.84",2026-06-14 09:45:00-04:00,2026-06-14 10:00:00-04:00,64283.54,64343.84,no
KXBTC15M-26JUN140945,"Target Price: $64,273.00",2026-06-14 09:30:00-04:00,2026-06-14 09:45:00-04:00,64343.84,64273.0,yes
KXBTC15M-26JUN140930,"Target Price: $64,333.59",2026-06-14 09:15:00-04:00,2026-06-14 09:30:00-04:00,64273.00,64333.59,no
KXBTC15M-26JUN140915,"Target Price: $64,302.94",2026-06-14 09:00:00-04:00,2026-06-14 09:15:00-04:00,64333.59,64302.94,yes
KXBTC15M-26JUN140900,"Target Price: $64,335.23",2026-06-14 08:45:00-04:00,2026-06-14 09:00:00-04:00,64302.94,64335.23,no
KXBTC15M-26JUN140845,"Target Price: $64,442.76",2026-06-14 08:30:00-04:00,2026-06-14 08:45:00-04:00,64335.23,64442.76,no
KXBTC15M-26JUN140830,"Target Price: $64,469.59",2026-06-14 08:15:00-04:00,2026-06-14 08:30:00-04:00,64442.76,64469.59,no
KXBTC15M-26JUN140815,"Target Price: $64,528.20",2026-06-14 08:00:00-04:00,2026-06-14 08:15:00-04:00,64469.59,64528.2,no
KXBTC15M-26JUN140800,"Target Price: $64,588.09",2026-06-14 07:45:00-04:00,2026-06-14 08:00:00-04:00,64528.20,64588.09,no
KXBTC15M-26JUN140745,"Target Price: $64,555.88",2026-06-14 07:30:00-04:00,2026-06-14 07:45:00-04:00,64588.09,64555.88,yes
KXBTC15M-26JUN140730,"Target Price: $64,537.93",2026-06-14 07:15:00-04:00,2026-06-14 07:30:00-04:00,64555.88,64537.93,yes
KXBTC15M-26JUN140715,"Target Price: $64,498.04",2026-06-14 07:00:00-04:00,2026-06-14 07:15:00-04:00,64537.93,64498.04,yes
KXBTC15M-26JUN140700,"Target Price: $64,578.02",2026-06-14 06:45:00-04:00,2026-06-14 07:00:00-04:00,64498.04,64578.02,no
KXBTC15M-26JUN140645,"Target Price: $64,568.27",2026-06-14 06:30:00-04:00,2026-06-14 06:45:00-04:00,64578.02,64568.27,yes
KXBTC15M-26JUN140630,"Target Price: $64,497.89",2026-06-14 06:15:00-04:00,2026-06-14 06:30:00-04:00,64568.27,64497.89,yes
KXBTC15M-26JUN140615,"Target Price: $64,581.02",2026-06-14 06:00:00-04:00,2026-06-14 06:15:00-04:00,64497.89,64581.02,no
KXBTC15M-26JUN140600,"Target Price: $64,517.09",2026-06-14 05:45:00-04:00,2026-06-14 06:00:00-04:00,64581.02,64517.09,yes
KXBTC15M-26JUN140545,"Target Price: $64,327.72",2026-06-14 05:30:00-04:00,2026-06-14 05:45:00-04:00,64517.09,64327.72,yes
KXBTC15M-26JUN140530,"Target Price: $64,398.45",2026-06-14 05:15:00-04:00,2026-06-14 05:30:00-04:00,64327.72,64398.45,no
KXBTC15M-26JUN140515,"Target Price: $64,427.91",2026-06-14 05:00:00-04:00,2026-06-14 05:15:00-04:00,64398.45,64427.91,no
KXBTC15M-26JUN140500,"Target Price: $64,451.38",2026-06-14 04:45:00-04:00,2026-06-14 05:00:00-04:00,64427.91,64451.38,no
KXBTC15M-26JUN140445,"Target Price: $64,455.44",2026-06-14 04:30:00-04:00,2026-06-14 04:45:00-04:00,64451.38,64455.44,no
KXBTC15M-26JUN140430,"Target Price: $64,412.77",2026-06-14 04:15:00-04:00,2026-06-14 04:30:00-04:00,64455.44,64412.77,yes
KXBTC15M-26JUN140415,"Target Price: $64,397.40",2026-06-14 04:00:00-04:00,2026-06-14 04:15:00-04:00,64412.77,64397.4,yes
KXBTC15M-26JUN140400,"Target Price: $64,278.31",2026-06-14 03:45:00-04:00,2026-06-14 04:00:00-04:00,64397.40,64278.31,yes
KXBTC15M-26JUN140345,"Target Price: $64,334.73",2026-06-14 03:30:00-04:00,2026-06-14 03:45:00-04:00,64278.31,64334.73,no
KXBTC15M-26JUN140330,"Target Price: $64,216.38",2026-06-14 03:15:00-04:00,2026-06-14 03:30:00-04:00,64334.73,64216.38,yes
KXBTC15M-26JUN140315,"Target Price: $64,264.32",2026-06-14 03:00:00-04:00,2026-06-14 03:15:00-04:00,64216.38,64264.32,no
KXBTC15M-26JUN140300,"Target Price: $64,243.07",2026-06-14 02:45:00-04:00,2026-06-14 03:00:00-04:00,64264.32,64243.07,yes
KXBTC15M-26JUN140245,"Target Price: $64,337.28",2026-06-14 02:30:00-04:00,2026-06-14 02:45:00-04:00,64243.07,64337.28,no
KXBTC15M-26JUN140230,"Target Price: $64,434.95",2026-06-14 02:15:00-04:00,2026-06-14 02:30:00-04:00,64337.28,64434.95,no
KXBTC15M-26JUN140215,"Target Price: $64,342.63",2026-06-14 02:00:00-04:00,2026-06-14 02:15:00-04:00,64434.95,64342.63,yes
KXBTC15M-26JUN140200,"Target Price: $64,356.91",2026-06-14 01:45:00-04:00,2026-06-14 02:00:00-04:00,64342.63,64356.91,no
KXBTC15M-26JUN140145,"Target Price: $64,288.97",2026-06-14 01:30:00-04:00,2026-06-14 01:45:00-04:00,64356.91,64288.97,yes
KXBTC15M-26JUN140130,"Target Price: $64,324.52",2026-06-14 01:15:00-04:00,2026-06-14 01:30:00-04:00,64288.97,64324.52,no
KXBTC15M-26JUN140115,"Target Price: $64,353.57",2026-06-14 01:00:00-04:00,2026-06-14 01:15:00-04:00,64324.52,64353.57,no
KXBTC15M-26JUN140100,"Target Price: $64,379.86",2026-06-14 00:45:00-04:00,2026-06-14 01:00:00-04:00,64353.57,64379.86,no
KXBTC15M-26JUN140045,"Target Price: $64,453.03",2026-06-14 00:30:00-04:00,2026-06-14 00:45:00-04:00,64379.86,64453.03,no
KXBTC15M-26JUN140030,"Target Price: $64,477.74",2026-06-14 00:15:00-04:00,2026-06-14 00:30:00-04:00,64453.03,64477.74,no
KXBTC15M-26JUN140015,"Target Price: $64,520.85",2026-06-14 00:00:00-04:00,2026-06-14 00:15:00-04:00,64477.74,64520.85,no
KXBTC15M-26JUN140000,"Target Price: $64,453.89",2026-06-13 23:45:00-04:00,2026-06-14 00:00:00-04:00,64520.85,64453.89,yes
KXBTC15M-26JUN132345,"Target Price: $64,507.97",2026-06-13 23:30:00-04:00,2026-06-13 23:45:00-04:00,64453.89,64507.97,no
KXBTC15M-26JUN132330,"Target Price: $64,474.87",2026-06-13 23:15:00-04:00,2026-06-13 23:30:00-04:00,64507.97,64474.87,yes
KXBTC15M-26JUN132315,"Target Price: $64,474.23",2026-06-13 23:00:00-04:00,2026-06-13 23:15:00-04:00,64474.87,64474.23,yes
KXBTC15M-26JUN132300,"Target Price: $64,493.57",2026-06-13 22:45:00-04:00,2026-06-13 23:00:00-04:00,64474.23,64493.57,no
KXBTC15M-26JUN132245,"Target Price: $64,520.46",2026-06-13 22:30:00-04:00,2026-06-13 22:45:00-04:00,64493.57,64520.46,no
KXBTC15M-26JUN132230,"Target Price: $64,600.22",2026-06-13 22:15:00-04:00,2026-06-13 22:30:00-04:00,64520.46,64600.22,no
KXBTC15M-26JUN132215,"Target Price: $64,573.72",2026-06-13 22:00:00-04:00,2026-06-13 22:15:00-04:00,64600.22,64573.72,yes
KXBTC15M-26JUN132200,"Target Price: $64,571.83",2026-06-13 21:45:00-04:00,2026-06-13 22:00:00-04:00,64573.72,64571.83,yes
KXBTC15M-26JUN132145,"Target Price: $64,619.30",2026-06-13 21:30:00-04:00,2026-06-13 21:45:00-04:00,64571.83,64619.3,no
KXBTC15M-26JUN132130,"Target Price: $64,616.46",2026-06-13 21:15:00-04:00,2026-06-13 21:30:00-04:00,64619.30,64616.46,yes
KXBTC15M-26JUN132115,"Target Price: $64,531.95",2026-06-13 21:00:00-04:00,2026-06-13 21:15:00-04:00,64616.46,64531.95,yes
KXBTC15M-26JUN132100,"Target Price: $64,531.96",2026-06-13 20:45:00-04:00,2026-06-13 21:00:00-04:00,64531.95,64531.96,no
KXBTC15M-26JUN132045,"Target Price: $64,474.69",2026-06-13 20:30:00-04:00,2026-06-13 20:45:00-04:00,64531.96,64474.69,yes
KXBTC15M-26JUN132030,"Target Price: $64,400.79",2026-06-13 20:15:00-04:00,2026-06-13 20:30:00-04:00,64474.69,64400.79,yes
KXBTC15M-26JUN132015,"Target Price: $64,418.49",2026-06-13 20:00:00-04:00,2026-06-13 20:15:00-04:00,64400.79,64418.49,no
KXBTC15M-26JUN132000,"Target Price: $64,442.74",2026-06-13 19:45:00-04:00,2026-06-13 20:00:00-04:00,64418.49,64442.74,no
KXBTC15M-26JUN131945,"Target Price: $64,449.94",2026-06-13 19:30:00-04:00,2026-06-13 19:45:00-04:00,64442.74,64449.94,no
KXBTC15M-26JUN131930,"Target Price: $64,433.06",2026-06-13 19:15:00-04:00,2026-06-13 19:30:00-04:00,64449.94,64433.06,yes
KXBTC15M-26JUN131915,"Target Price: $64,442.33",2026-06-13 19:00:00-04:00,2026-06-13 19:15:00-04:00,64433.06,64442.33,no
KXBTC15M-26JUN131900,"Target Price: $64,489.70",2026-06-13 18:45:00-04:00,2026-06-13 19:00:00-04:00,64442.33,64489.7,no
KXBTC15M-26JUN131845,"Target Price: $64,494.58",2026-06-13 18:30:00-04:00,2026-06-13 18:45:00-04:00,64489.70,64494.58,no
KXBTC15M-26JUN131830,"Target Price: $64,386.12",2026-06-13 18:15:00-04:00,2026-06-13 18:30:00-04:00,64494.58,64386.12,yes
KXBTC15M-26JUN131815,"Target Price: $64,440.09",2026-06-13 18:00:00-04:00,2026-06-13 18:15:00-04:00,64386.12,64440.09,no
KXBTC15M-26JUN131800,"Target Price: $64,558.54",2026-06-13 17:45:00-04:00,2026-06-13 18:00:00-04:00,64440.09,64558.54,no
KXBTC15M-26JUN131745,"Target Price: $64,238.18",2026-06-13 17:30:00-04:00,2026-06-13 17:45:00-04:00,64558.54,64238.18,yes
KXBTC15M-26JUN131730,"Target Price: $64,226.25",2026-06-13 17:15:00-04:00,2026-06-13 17:30:00-04:00,64238.18,64226.25,yes
KXBTC15M-26JUN131715,"Target Price: $64,255.82",2026-06-13 17:00:00-04:00,2026-06-13 17:15:00-04:00,64226.25,64255.82,no
KXBTC15M-26JUN131700,"Target Price: $64,213.12",2026-06-13 16:45:00-04:00,2026-06-13 17:00:00-04:00,64255.82,64213.12,yes
KXBTC15M-26JUN131645,"Target Price: $64,231.31",2026-06-13 16:30:00-04:00,2026-06-13 16:45:00-04:00,64213.12,64231.31,no
KXBTC15M-26JUN131630,"Target Price: $64,243.93",2026-06-13 16:15:00-04:00,2026-06-13 16:30:00-04:00,64231.31,64243.93,no
KXBTC15M-26JUN131615,"Target Price: $64,282.27",2026-06-13 16:00:00-04:00,2026-06-13 16:15:00-04:00,64243.93,64282.27,no
KXBTC15M-26JUN131600,"Target Price: $64,260.64",2026-06-13 15:45:00-04:00,2026-06-13 16:00:00-04:00,64282.27,64260.64,yes
KXBTC15M-26JUN131545,"Target Price: $64,155.28",2026-06-13 15:30:00-04:00,2026-06-13 15:45:00-04:00,64260.64,64155.28,yes
KXBTC15M-26JUN131530,"Target Price: $64,161.41",2026-06-13 15:15:00-04:00,2026-06-13 15:30:00-04:00,64155.28,64161.41,no
KXBTC15M-26JUN131515,"Target Price: $64,135.03",2026-06-13 15:00:00-04:00,2026-06-13 15:15:00-04:00,64161.41,64135.03,yes
KXBTC15M-26JUN131500,"Target Price: $64,236.49",2026-06-13 14:45:00-04:00,2026-06-13 15:00:00-04:00,64135.03,64236.49,no
KXBTC15M-26JUN131445,"Target Price: $64,168.54",2026-06-13 14:30:00-04:00,2026-06-13 14:45:00-04:00,64236.49,64168.54,yes
KXBTC15M-26JUN131430,"Target Price: $64,042.45",2026-06-13 14:15:00-04:00,2026-06-13 14:30:00-04:00,64168.54,64042.45,yes
KXBTC15M-26JUN131415,"Target Price: $63,959.11",2026-06-13 14:00:00-04:00,2026-06-13 14:15:00-04:00,64042.45,63959.11,yes
KXBTC15M-26JUN131400,"Target Price: $64,074.43",2026-06-13 13:45:00-04:00,2026-06-13 14:00:00-04:00,63959.11,64074.43,no
KXBTC15M-26JUN131345,"Target Price: $64,052.42",2026-06-13 13:30:00-04:00,2026-06-13 13:45:00-04:00,64074.43,64052.42,yes
KXBTC15M-26JUN131330,"Target Price: $63,934.78",2026-06-13 13:15:00-04:00,2026-06-13 13:30:00-04:00,64052.42,63934.78,yes
KXBTC15M-26JUN131315,"Target Price: $63,986.97",2026-06-13 13:00:00-04:00,2026-06-13 13:15:00-04:00,63934.78,63986.97,no
KXBTC15M-26JUN131300,"Target Price: $64,018.70",2026-06-13 12:45:00-04:00,2026-06-13 13:00:00-04:00,63986.97,64018.7,no
KXBTC15M-26JUN131245,"Target Price: $63,972.21",2026-06-13 12:30:00-04:00,2026-06-13 12:45:00-04:00,64018.70,63972.21,yes
KXBTC15M-26JUN131230,"Target Price: $64,034.23",2026-06-13 12:15:00-04:00,2026-06-13 12:30:00-04:00,63972.21,64034.23,no
KXBTC15M-26JUN131215,"Target Price: $64,276.27",2026-06-13 12:00:00-04:00,2026-06-13 12:15:00-04:00,64034.23,64276.27,no
KXBTC15M-26JUN131200,"Target Price: $64,214.16",2026-06-13 11:45:00-04:00,2026-06-13 12:00:00-04:00,64276.27,64214.16,yes
KXBTC15M-26JUN131145,"Target Price: $64,252.05",2026-06-13 11:30:00-04:00,2026-06-13 11:45:00-04:00,64214.16,64252.05,no
KXBTC15M-26JUN131130,"Target Price: $64,253.62",2026-06-13 11:15:00-04:00,2026-06-13 11:30:00-04:00,64252.05,64253.62,no
KXBTC15M-26JUN131115,"Target Price: $64,190.42",2026-06-13 11:00:00-04:00,2026-06-13 11:15:00-04:00,64253.62,64190.42,yes
KXBTC15M-26JUN131100,"Target Price: $64,163.93",2026-06-13 10:45:00-04:00,2026-06-13 11:00:00-04:00,64190.42,64163.93,yes
KXBTC15M-26JUN131045,"Target Price: $64,103.34",2026-06-13 10:30:00-04:00,2026-06-13 10:45:00-04:00,64163.93,64103.34,yes
KXBTC15M-26JUN131030,"Target Price: $64,136.67",2026-06-13 10:15:00-04:00,2026-06-13 10:30:00-04:00,64103.34,64136.67,no
KXBTC15M-26JUN131015,"Target Price: $64,074.15",2026-06-13 10:00:00-04:00,2026-06-13 10:15:00-04:00,64136.67,64074.15,yes
KXBTC15M-26JUN131000,"Target Price: $64,145.88",2026-06-13 09:45:00-04:00,2026-06-13 10:00:00-04:00,64074.15,64145.88,no
KXBTC15M-26JUN130945,"Target Price: $64,189.60",2026-06-13 09:30:00-04:00,2026-06-13 09:45:00-04:00,64145.88,64189.6,no
KXBTC15M-26JUN130930,"Target Price: $64,134.60",2026-06-13 09:15:00-04:00,2026-06-13 09:30:00-04:00,64189.60,64134.6,yes
KXBTC15M-26JUN130915,"Target Price: $64,109.64",2026-06-13 09:00:00-04:00,2026-06-13 09:15:00-04:00,64134.60,64109.64,yes
KXBTC15M-26JUN130900,"Target Price: $63,973.11",2026-06-13 08:45:00-04:00,2026-06-13 09:00:00-04:00,64109.64,63973.11,yes
KXBTC15M-26JUN130845,"Target Price: $63,941.74",2026-06-13 08:30:00-04:00,2026-06-13 08:45:00-04:00,63973.11,63941.74,yes
KXBTC15M-26JUN130830,"Target Price: $63,912.89",2026-06-13 08:15:00-04:00,2026-06-13 08:30:00-04:00,63941.74,63912.89,yes
KXBTC15M-26JUN130815,"Target Price: $63,933.74",2026-06-13 08:00:00-04:00,2026-06-13 08:15:00-04:00,63912.89,63933.74,no
KXBTC15M-26JUN130800,"Target Price: $63,881.66",2026-06-13 07:45:00-04:00,2026-06-13 08:00:00-04:00,63933.74,63881.66,yes
KXBTC15M-26JUN130745,"Target Price: $63,931.23",2026-06-13 07:30:00-04:00,2026-06-13 07:45:00-04:00,63881.66,63931.23,no
KXBTC15M-26JUN130730,"Target Price: $63,894.54",2026-06-13 07:15:00-04:00,2026-06-13 07:30:00-04:00,63931.23,63894.54,yes
KXBTC15M-26JUN130715,"Target Price: $63,807.14",2026-06-13 07:00:00-04:00,2026-06-13 07:15:00-04:00,63894.54,63807.14,yes
KXBTC15M-26JUN130700,"Target Price: $63,840.51",2026-06-13 06:45:00-04:00,2026-06-13 07:00:00-04:00,63807.14,63840.51,no
KXBTC15M-26JUN130645,"Target Price: $63,746.23",2026-06-13 06:30:00-04:00,2026-06-13 06:45:00-04:00,63840.51,63746.23,yes
KXBTC15M-26JUN130630,"Target Price: $63,748.34",2026-06-13 06:15:00-04:00,2026-06-13 06:30:00-04:00,63746.23,63748.34,no
KXBTC15M-26JUN130615,"Target Price: $63,712.97",2026-06-13 06:00:00-04:00,2026-06-13 06:15:00-04:00,63748.34,63712.97,yes
KXBTC15M-26JUN130600,"Target Price: $63,776.59",2026-06-13 05:45:00-04:00,2026-06-13 06:00:00-04:00,63712.97,63776.59,no
KXBTC15M-26JUN130545,"Target Price: $63,786.54",2026-06-13 05:30:00-04:00,2026-06-13 05:45:00-04:00,63776.59,63786.54,no
KXBTC15M-26JUN130530,"Target Price: $63,778.83",2026-06-13 05:15:00-04:00,2026-06-13 05:30:00-04:00,63786.54,63778.83,yes
KXBTC15M-26JUN130515,"Target Price: $63,778.94",2026-06-13 05:00:00-04:00,2026-06-13 05:15:00-04:00,63778.83,63778.94,no
KXBTC15M-26JUN130500,"Target Price: $63,848.00",2026-06-13 04:45:00-04:00,2026-06-13 05:00:00-04:00,63778.94,63848.0,no
KXBTC15M-26JUN130445,"Target Price: $63,785.11",2026-06-13 04:30:00-04:00,2026-06-13 04:45:00-04:00,63848.00,63785.11,yes
KXBTC15M-26JUN130430,"Target Price: $63,771.01",2026-06-13 04:15:00-04:00,2026-06-13 04:30:00-04:00,63785.11,63771.01,yes
KXBTC15M-26JUN130415,"Target Price: $63,794.90",2026-06-13 04:00:00-04:00,2026-06-13 04:15:00-04:00,63771.01,63794.9,no
KXBTC15M-26JUN130400,"Target Price: $63,790.98",2026-06-13 03:45:00-04:00,2026-06-13 04:00:00-04:00,63794.90,63790.98,yes
KXBTC15M-26JUN130345,"Target Price: $63,756.29",2026-06-13 03:30:00-04:00,2026-06-13 03:45:00-04:00,63790.98,63756.29,yes
KXBTC15M-26JUN130330,"Target Price: $63,705.83",2026-06-13 03:15:00-04:00,2026-06-13 03:30:00-04:00,63756.29,63705.83,yes
KXBTC15M-26JUN130315,"Target Price: $63,704.38",2026-06-13 03:00:00-04:00,2026-06-13 03:15:00-04:00,63705.83,63704.38,yes
KXBTC15M-26JUN130300,"Target Price: $63,647.18",2026-06-13 02:45:00-04:00,2026-06-13 03:00:00-04:00,63704.38,63647.18,yes
KXBTC15M-26JUN130245,"Target Price: $63,632.09",2026-06-13 02:30:00-04:00,2026-06-13 02:45:00-04:00,63647.18,63632.09,yes
KXBTC15M-26JUN130230,"Target Price: $63,552.96",2026-06-13 02:15:00-04:00,2026-06-13 02:30:00-04:00,63632.09,63552.96,yes
KXBTC15M-26JUN130215,"Target Price: $63,531.99",2026-06-13 02:00:00-04:00,2026-06-13 02:15:00-04:00,63552.96,63531.99,yes
KXBTC15M-26JUN130200,"Target Price: $63,553.72",2026-06-13 01:45:00-04:00,2026-06-13 02:00:00-04:00,63531.99,63553.72,no
KXBTC15M-26JUN130145,"Target Price: $63,552.66",2026-06-13 01:30:00-04:00,2026-06-13 01:45:00-04:00,63553.72,63552.66,yes
KXBTC15M-26JUN130130,"Target Price: $63,546.41",2026-06-13 01:15:00-04:00,2026-06-13 01:30:00-04:00,63552.66,63546.41,yes
KXBTC15M-26JUN130115,"Target Price: $63,488.13",2026-06-13 01:00:00-04:00,2026-06-13 01:15:00-04:00,63546.41,63488.13,yes
